Payment,Paiement,
Payments,Paiements,
Please select a Amount Field.,Veuillez sélectionner un champ de montant.,
Amount must be greater than 0.,Le montant doit être supérieur à 0.,
Client token generation issue,Erreur de génération de jeton client,
"There seems to be an issue with the server's braintree configuration. Don't worry, in case of failure, the amount will get refunded to your account.","Il semble y avoir un problème avec la configuration Braintree du serveur. Ne vous inquiétez pas, en cas d'échec, le montant sera remboursé sur votre compte.",
Invalid payment gateway credentials,Identifiants de la passerelle de paiement non valides,
Looks like something is wrong with this site's Paypal configuration.,La configuration PayPal de ce site comporte des erreurs.,
Something went wrong,Une erreur est survenue,
"Looks like something went wrong during the transaction. Since we haven't confirmed the payment, Paypal will automatically refund you this amount. If it doesn't, please send us an email and mention the Correlation ID: {0}.","La transaction n'a pas été effectuée correctement. Puisque nous n'avons pas confirmé le paiement, Paypal vous remboursera automatiquement ce montant. Si ce n'est pas le cas, veuillez nous envoyer un email et mentionner l'ID de corrélation : {0}.",
Failed while amending subscription,Échec lors de la modification de l'abonnement,
In Valid Request,Requête invalide,
"For more information, {0}.","Pour plus d'informations : {0}",
Click here,Documentation pour l'intégration Paytm,Paytm
Seems API Key or API Secret is wrong,Clé API ou Secret API invalide,
Could not create razorpay order,Impossible de créer l'ordre Razorpay,
"There seems to be an issue with the server's {0} configuration. Don't worry, in case of failure, the amount will get refunded to your account.","Il semble y avoir un problème avec la configuration {0} du serveur. Ne vous inquiétez pas, en cas d'échec, le montant sera remboursé sur votre compte.",
The selected document type ({0}) must contain a `{1}` field. This field is used to store the payment gateway used for the payment made when the form is submitted.,Le type de document sélectionné ({0}) doit contenir un champ `{1}`. Ce champ sert à stocker la passerelle de paiement utilisée pour le paiement effectué lors de l'envoi du formulaire.,
